Initial.Name,bill,vote,District,Party
R. Adkins,HB1,YEA,H99,Democratic
A. Gentry,HB1,YEA,H46,Democratic
D. Meade,HB1,YEA,H80,Republican
S. Riley,HB1,YEA,H23,Republican
L. Bechler,HB1,YEA,H4,Republican
R. Goforth,HB1,YEA,H81,Republican
R. Meeks,HB1,YEA,H42,Democratic
R. Rothenburger,HB1,YEA,H58,Republican
L. Belcher,HB1,YEA,H49,Democratic
J. Gooch,HB1,YEA,H12,Republican
M. Meredith,HB1,YEA,H19,Republican
B. Rowland,HB1,YEA,H21,Republican
D. Bentley,HB1,YEA,H98,Republican
D. Graham,HB1,YEA,H57,Democratic
R. Meyer,HB1,YEA,H39,Democratic
S. Rudy,HB1,YEA,H1,Republican
R. Benvenuti,HB1,YEA,H88,Republican
J. Greer,HB1,YEA,H27,Democratic
S. Miles,HB1,YEA,H7,Republican
S. Santoro,HB1,YEA,H60,Republican
J. Blanton,HB1,YEA,H92,Republican
D. Hale,HB1,YEA,H74,Republican
C. Miller,HB1,YEA,H28,Democratic
D. Schamore,HB1,YEA,H10,Democratic
K. Bratcher,HB1,YEA,H29,Republican
C. Harris,HB1,YEA,H93,Democratic
J. Miller,HB1,YEA,H36,Republican
J. Shell,HB1,YEA,H71,Republican
G. Brown,HB1,YEA,H77,Democratic
M. Hart,HB1,YEA,H78,Republican
R. Mills,HB1,YEA,H11,Republican
A. Simpson,HB1,YEA,H65,Democratic
L. Brown,HB1,YEA,H95,Republican
A. Hatton,HB1,YEA,H94,Democratic
T. Moore,HB1,YEA,H18,Republican
J. Sims,HB1,YEA,H70,Democratic
M. Cantrell,HB1,YEA,H38,Democratic
R. Heath,HB1,YEA,H2,Republican
C. Morgan,HB1,YEA,H81,Republican
K. Sinnette,HB1,YEA,H100,Democratic
J. Carney,HB1,YEA,H51,Republican
T. Herald,HB1,YEA,H91,Republican
K. Moser,HB1,YEA,H64,Republican
D. St. Onge,HB1,YEA,H63,Republican
M. Castlen,HB1,YEA,H14,Republican
R. Bunch,HB1,YEA,H82,Republican
R. Nelson,HB1,YEA,H87,Democratic
J. Stewart,HB1,YEA,H86,Republican
T. Couch,HB1,YEA,H90,Republican
K. Imes,HB1,YEA,H5,Republican
J. Nemes,HB1,YEA,H33,Republican
W. Stone,HB1,YEA,H22,Democratic
W. Coursey,HB1,YEA,H6,Democratic
J. Jenkins,HB1,YEA,H44,Democratic
D. Osborne,HB1,YEA,H59,Republican
W. Thomas,HB1,YEA,H8,Republican
J. DeCesare,HB1,YEA,H17,Republican
DJ. Johnson,HB1,YEA,H13,Republican
S. Overly,HB1,YEA,H72,Democratic
J. Tipton,HB1,YEA,H53,Republican
J. Donohue,HB1,YEA,H37,Democratic
J. Kay,HB1,YEA,H56,Democratic
