Initial.Name,bill,vote,District,Party
R. Alvarado,HB1,YEA,S28,Republican
D. Harper Angel,HB1,YEA,S35,Democratic
G. Neal,HB1,YEA,S33,Democratic
R. Stivers II,HB1,YEA,S25,Republican
J. Bowen,HB1,YEA,S8,Republican
E. Harris,HB1,YEA,S26,Republican
D. Parrett,HB1,YEA,S10,Democratic
D. Thayer,HB1,YEA,S17,Republican
T. Buford,HB1,YEA,S22,Republican
J. Higdon,HB1,YEA,S14,Republican
J. Adams,HB1,YEA,S36,Republican
R. Thomas,HB1,YEA,S13,Democratic
J. Carpenter,HB1,YEA,S34,Republican
P. Hornback,HB1,YEA,S20,Republican
D. Ridley,HB1,YEA,S4,Democratic
J. Turner,HB1,YEA,S29,Democratic
D. Carroll,HB1,YEA,S2,Republican
S. Humphries,HB1,YEA,S1,Republican
A. Robinson,HB1,YEA,S21,Republican
R. Webb,HB1,YEA,S18,Democratic
J. Carroll,HB1,YEA,S7,Democratic
R. Jones II,HB1,YEA,S31,Democratic
J. Schickel,HB1,YEA,S11,Republican
S. West,HB1,YEA,S27,Republican
P. Clark,HB1,YEA,S37,Democratic
A. Kerr,HB1,YEA,S12,Republican
W. Schroder,HB1,YEA,S24,Republican
W. Westerfield,HB1,YEA,S3,Republican
C. Embry Jr.,HB1,YEA,S6,Republican
C. McDaniel,HB1,YEA,S23,Republican
D. Seum,HB1,YEA,S38,Republican
M. Wilson,HB1,YEA,S32,Republican
R. Girdler,HB1,YEA,S15,Republican
M. McGarvey,HB1,YEA,S19,Democratic
B. Smith,HB1,YEA,S30,Republican
M. Wise,HB1,YEA,S16,Republican
D. Givens,HB1,YEA,S9,Republican
S. Meredith,HB1,YEA,S5,Republican
R. Alvarado,HB2,YEA,S28,Republican
D. Givens,HB2,YEA,S9,Republican
S. Meredith,HB2,YEA,S5,Republican
D. Thayer,HB2,YEA,S17,Republican
J. Bowen,HB2,YEA,S8,Republican
E. Harris,HB2,YEA,S26,Republican
J. Adams,HB2,YEA,S36,Republican
S. West,HB2,YEA,S27,Republican
T. Buford,HB2,YEA,S22,Republican
P. Hornback,HB2,YEA,S20,Republican
A. Robinson,HB2,YEA,S21,Republican
W. Westerfield,HB2,YEA,S3,Republican
J. Carpenter,HB2,YEA,S34,Republican
S. Humphries,HB2,YEA,S1,Republican
J. Schickel,HB2,YEA,S11,Republican
M. Wilson,HB2,YEA,S32,Republican
D. Carroll,HB2,YEA,S2,Republican
A. Kerr,HB2,YEA,S12,Republican
W. Schroder,HB2,YEA,S24,Republican
M. Wise,HB2,YEA,S16,Republican
R. Girdler,HB2,YEA,S15,Republican
C. McDaniel,HB2,YEA,S23,Republican
R. Stivers II,HB2,YEA,S25,Republican
J. Carroll,HB2,NAY,S7,Democratic
J. Higdon,HB2,NAY,S14,Republican
D. Ridley,HB2,NAY,S4,Democratic
R. Thomas,HB2,NAY,S13,Democratic
P. Clark,HB2,NAY,S37,Democratic
R. Jones II,HB2,NAY,S31,Democratic
D. Seum,HB2,NAY,S38,Republican
J. Turner,HB2,NAY,S29,Democratic
C. Embry Jr.,HB2,NAY,S6,Republican
M. McGarvey,HB2,NAY,S19,Democratic
B. Smith,HB2,NAY,S30,Republican
R. Webb,HB2,NAY,S18,Democratic
D. Harper Angel,HB2,NAY,S35,Democratic
D. Parrett,HB2,NAY,S10,Democratic
G. Neal,HB2,NV,S33,Democratic
R. Alvarado,HB3,YEA,S28,Republican
D. Givens,HB3,YEA,S9,Republican
S. Meredith,HB3,YEA,S5,Republican
R. Stivers II,HB3,YEA,S25,Republican
J. Bowen,HB3,YEA,S8,Republican
D. Harper Angel,HB3,YEA,S35,Democratic
G. Neal,HB3,YEA,S33,Democratic
D. Thayer,HB3,YEA,S17,Republican
T. Buford,HB3,YEA,S22,Republican
E. Harris,HB3,YEA,S26,Republican
D. Parrett,HB3,YEA,S10,Democratic
R. Thomas,HB3,YEA,S13,Democratic
J. Carpenter,HB3,YEA,S34,Republican
J. Higdon,HB3,YEA,S14,Republican
J. Adams,HB3,YEA,S36,Republican
J. Turner,HB3,YEA,S29,Democratic
D. Carroll,HB3,YEA,S2,Republican
P. Hornback,HB3,YEA,S20,Republican
D. Ridley,HB3,YEA,S4,Democratic
R. Webb,HB3,YEA,S18,Democratic
J. Carroll,HB3,YEA,S7,Democratic
S. Humphries,HB3,YEA,S1,Republican
A. Robinson,HB3,YEA,S21,Republican
W. Westerfield,HB3,YEA,S3,Republican
P. Clark,HB3,YEA,S37,Democratic
